team,score,total_games
ORL,16401.8,2013
CLE,18980.3,2211
CLE,24297.0,2938
CLE,1313.9,156
GSW,9636.5,1305
OKC,6175.6,760
OKC,8575.2,1199
WAS,25142.0,2683
HOU,17704.0,1838
IND,3726.8,532
NOH,23417.3,2944
MIL,14472.4,1901
CHI,2893.4,376
BRK,1593.0,214
ATL,4897.0,694
PHO,10472.1,1194
NYK,7065.5,865
MEM,10270.5,1647
PHI,2678.4,384
BRK,10244.7,1388
BRK,834.0,95
HOU,13990.8,1366
HOU,14820.8,1652
SAS,6896.5,905
PHO,4200.3,623
DET,19958.8,2368
HOU,50.4,7
DAL,2706.3,365
BOS,17970.6,2149
ATL,11291.7,1636
LAL,9442.3,1123
ORL,4176.0,615
HOU,26.7,3
TOR,9100.2,1266
PHO,183.7,22
IND,729.3,91
IND,12812.0,1360
DET,929.5,122
MIA,1227.4,220
PHI,3141.6,398
LAL,54.3,9
BOS,122.9,12
BOS,148.8,21
DAL,640.6,92
DAL,21.6,3
NOH,7454.6,1112
SAC,19598.9,2121
LAC,2662.3,381
ORL,18708.1,2189
MIN,11845.7,1373
OKC,12381.7,1354
BRK,11824.0,1388
MIN,5412.9,692
OKC,7374.4,642
CHI,10263.8,1227
CHI,139.1,20
NYK,12770.9,1841
IND,10336.3,1171
MEM,7674.0,1100
MEM,638.1,89
CLE,6002.1,845
CLE,10433.5,1362
PHI,11893.0,1772
PHI,2781.8,399
PHI,3333.7,583
BOS,1675.1,249
BOS,6742.0,915
WAS,540.8,75
WAS,6677.2,920
UTA,17984.5,2147
PHO,3776.0,554
PHO,724.0,95
CHA,8129.3,1461
DAL,8481.1,1231
BOS,11674.0,1526
LAL,10423.5,1102
NYK,1270.6,171
DET,15330.6,1838
MIL,16754.5,2102
MIL,1672.7,240
MIL,5814.9,709
UTA,9905.8,1427
PHI,14405.1,2089
POR,5654.7,784
NOP,3552.4,495
PHO,7586.6,883
ATL,7869.5,1048
ATL,8308.2,1197
HOU,4568.7,578
MIN,4622.8,596
SAC,9359.6,1096
POR,2833.9,363
DAL,1331.9,171
DAL,987.8,140
TOR,1012.7,132
GSW,464.5,64
DET,1630.8,221
DET,260.5,37
HOU,6583.1,985
ORL,118.6,20
HOU,1727.1,217
UTA,1240.5,181
CLE,88.4,11
PHI,385.9,62
PHI,551.9,75
BRK,1398.5,183
NOP,120.5,21
CLE,2833.4,325
DET,778.4,123
ATL,2728.0,357
ORL,4467.0,633
BOS,352.9,32
CLE,41.3,5
CLE,166.4,14
CLE,384.0,49
GSW,532.0,68
LAL,52.2,5
BOS,471.0,68
MIA,2742.6,387
MIL,57.6,5
CLE,23.1,2
SAC,20.3,3
SAC,4642.0,631
LAL,5707.4,596
HOU,3070.0,426
HOU,4754.2,491
SAS,1281.4,178
BRK,7213.9,910
CHO,2622.3,368
CHO,884.4,113
UTA,6369.3,915
UTA,7097.2,958
MIA,3773.8,588
MIA,3741.2,559
ORL,9715.3,1093
CHI,6615.6,888
MIN,11841.2,1366
MIN,7283.2,919
MIN,1026.8,127
HOU,888.1,134
PHI,3812.6,573
PHI,7319.1,1113
PHI,4834.5,799
PHI,4285.4,788
PHI,2043.8,286
TOR,85.9,10
OKC,177.9,27
CLE,1862.1,251
UTA,3630.0,543
MIA,2218.8,324
DEN,4631.5,540
GSW,565.3,68
DEN,2851.9,342
DEN,1579.7,207
BOS,1342.0,193
PHO,2293.1,333
PHO,1446.3,212
PHO,246.5,34
NYK,5559.0,657
NYK,2283.4,358
NYK,2367.4,330
PHI,887.0,119
IND,3903.1,555
BOS,7585.5,903
BRK,3208.2,323
DAL,917.7,135
LAC,293.6,39
DET,1564.4,226
DEN,1019.3,148
LAL,2260.5,261
UTA,4150.7,571
UTA,340.1,44
UTA,623.2,101
MEM,583.2,81
MEM,961.5,127
PHO,123.8,23
MIN,2775.2,353
MEM,249.5,35
MEM,510.1,48
CHI,1154.6,160
MIL,2871.7,325
MIL,1193.2,157
UTA,109.6,20
BRK,2107.0,290
OKC,2012.1,232
HOU,376.1,45
SAC,169.6,13
PHI,229.0,40
CLE,17.6,7
ORL,3050.2,427
ORL,852.3,73
MEM,16.1,3
TOR,57.2,7
CLE,245.7,35
IND,403.2,54
PHI,685.5,123
LAL,30.9,5
MIA,66.6,11
MIN,237.4,39
SAC,29.1,4
CHI,208.4,25
UTA,14.6,1
